name,version,license,classification,direct_dependency,integrity,resolved
papaparse,5.5.3,MIT,production,yes,sha512-5QvjGxYVjxO59MGU2lHVYpRWBBtKHnlIAcSe1uNFCkkptUh63NFRj0FJQm7nR67puEruUci/ZkjmEFrjCAyP4A==,https://registry.npmjs.org/papaparse/-/papaparse-5.5.3.tgz
postgres,3.4.8,Unlicense,production,yes,sha512-d+JFcLM17njZaOLkv6SCev7uoLaBtfK86vMUXhW1Z4glPWh4jozno9APvW/XKFJ3CCxVoC7OL38BqRydtu5nGg==,https://registry.npmjs.org/postgres/-/postgres-3.4.8.tgz
@esbuild/aix-ppc64,0.27.4,MIT,development,no,sha512-cQPwL2mp2nSmHHJlCyoXgHGhbEPMrEEU5xhkcy3Hs/O7nGZqEpZ2sUtLaL9MORLtDfRvVl2/3PAuEkYZH0Ty8Q==,https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.27.4.tgz
@esbuild/aix-ppc64,0.27.4,MIT,development,no,sha512-cQPwL2mp2nSmHHJlCyoXgHGhbEPMrEEU5xhkcy3Hs/O7nGZqEpZ2sUtLaL9MORLtDfRvVl2/3PAuEkYZH0Ty8Q==,https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.27.4.tgz
@esbuild/android-arm,0.27.4,MIT,development,no,sha512-X9bUgvxiC8CHAGKYufLIHGXPJWnr0OCdR0anD2e21vdvgCI8lIfqFbnoeOz7lBjdrAGUhqLZLcQo6MLhTO2DKQ==,https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.27.4.tgz
@esbuild/android-arm,0.27.4,MIT,development,no,sha512-X9bUgvxiC8CHAGKYufLIHGXPJWnr0OCdR0anD2e21vdvgCI8lIfqFbnoeOz7lBjdrAGUhqLZLcQo6MLhTO2DKQ==,https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.27.4.tgz
@esbuild/android-arm64,0.27.4,MIT,development,no,sha512-gdLscB7v75wRfu7QSm/zg6Rx29VLdy9eTr2t44sfTW7CxwAtQghZ4ZnqHk3/ogz7xao0QAgrkradbBzcqFPasw==,https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.27.4.tgz
@esbuild/android-arm64,0.27.4,MIT,development,no,sha512-gdLscB7v75wRfu7QSm/zg6Rx29VLdy9eTr2t44sfTW7CxwAtQghZ4ZnqHk3/ogz7xao0QAgrkradbBzcqFPasw==,https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.27.4.tgz
@esbuild/android-x64,0.27.4,MIT,development,no,sha512-PzPFnBNVF292sfpfhiyiXCGSn9HZg5BcAz+ivBuSsl6Rk4ga1oEXAamhOXRFyMcjwr2DVtm40G65N3GLeH1Lvw==,https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.27.4.tgz
@esbuild/android-x64,0.27.4,MIT,development,no,sha512-PzPFnBNVF292sfpfhiyiXCGSn9HZg5BcAz+ivBuSsl6Rk4ga1oEXAamhOXRFyMcjwr2DVtm40G65N3GLeH1Lvw==,https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.27.4.tgz
